Behavior,Total Games,Non-Draw Games,Acceptance Rate,Initial Offer,Payoff P1,Payoff P2,Win Rate P1
Baseline,114,59,98.25% ± 1.23%,$21.67 ± 23.87,$58.42 ± 16.33,$39.82 ± 15.30,86.44% ± 4.46%
Gujarati,106,62,92.45% ± 2.57%,$22.89 ± 26.88,$52.49 ± 24.90,$39.96 ± 22.92,70.97% ± 5.76%
Hindi,113,59,87.61% ± 3.10%,$15.53 ± 23.78,$51.64 ± 25.79,$35.97 ± 21.71,83.05% ± 4.88%
Marwadi,114,75,94.74% ± 2.09%,$17.64 ± 24.08,$59.27 ± 22.30,$35.46 ± 19.28,81.33% ± 4.50%
Marwadi-NoLang,112,88,97.32% ± 1.53%,$20.09 ± 22.26,$62.01 ± 19.47,$35.31 ± 17.54,79.55% ± 4.30%
Punjabi,101,68,96.04% ± 1.94%,$24.11 ± 25.16,$58.22 ± 22.06,$37.82 ± 20.14,77.94% ± 5.03%
