Language,total_games,acceptance_rate_mean,acceptance_rate_std,initial_offer_mean,initial_offer_std,p1_payoff_mean,p1_payoff_std,p2_payoff_mean,p2_payoff_std,p1_win_rate_mean,p1_win_rate_std,rounds_mean,rounds_std
Gujarati,360,0.7528,0.4314,44.5500,13.8880,58.3194,29.6582,31.4028,24.5553,0.4139,0.4925,2.3944,1.3102
Hindi,356,0.8371,0.3693,46.0029,18.2667,57.9213,25.6960,37.5843,23.8513,0.4298,0.4950,2.4466,1.1684
English,360,0.9194,0.2722,42.7514,11.5448,61.2500,20.0546,37.0833,19.0239,0.4972,0.5000,2.7500,1.2796
Punjabi,360,0.6889,0.4629,41.1209,16.1185,61.5139,30.4484,27.3750,23.4048,0.5222,0.4995,2.5833,1.5179
