behavior,total_games,acceptance_rate_mean,avg_negotiation_rounds,seller_advantage_mean,buyer_advantage_mean,win_rate_player1
English,117,0.9744,3.2051,6.886,13.114,0.4198
Gujarati,112,0.9821,3.3393,8.4364,11.5636,0.3733
Hindi,93,1.0,2.9892,7.4946,12.5054,0.3214
Marwadi,113,0.9823,3.7788,12.3243,7.6757,0.6047
Punjabi,102,1.0,3.3824,11.1373,8.8627,0.5
