Metric,F-statistic,p-value,Eta²,Effect Size,Significant
Acceptance Rate,51.1232,0.000000,0.1597,large,Yes
Average Negotiation Rounds,4.5863,0.001124,0.0168,small,Yes
Seller Advantage,4.2753,0.001948,0.0156,small,Yes
Buyer Advantage,5.8894,0.000109,0.0214,small,Yes
Win Rate (Player 1),inf,0.000000,1.0000,large,Yes
Draw Rate,inf,0.000000,1.0000,large,Yes
