behavior,total_games,acceptance_rate_mean,acceptance_rate_std,seller_advantage_mean,seller_advantage_std,buyer_advantage_mean,buyer_advantage_std,win_rate_seller,avg_negotiation_rounds,negotiation_rounds_std
English,294,1.0000,0.0000,11.4320,6.6958,8.5680,6.6958,0.5604,2.7823,1.1269
Gujarati,293,1.0000,0.0000,7.8840,7.5580,12.1160,7.5580,0.3000,3.2560,1.6959
Hindi,301,1.0000,0.0000,7.6578,7.6179,12.3422,7.6179,0.2939,3.4186,1.7081
Punjabi,284,0.9965,0.0593,8.4311,7.9999,11.5689,7.9999,0.3565,3.4366,1.8282
