behavior,total_games,acceptance_rate_mean,acceptance_rate_std,seller_advantage_mean,seller_advantage_std,buyer_advantage_mean,buyer_advantage_std,win_rate_seller,avg_negotiation_rounds,negotiation_rounds_std
English,350,0.9714,0.1668,7.1206,12.3928,12.8794,12.3928,0.4123,3.0914,1.8994
Gujarati,325,0.9877,0.1104,7.9315,9.8197,12.0685,9.8197,0.3160,3.3138,1.9165
Hindi,319,1.0000,0.0000,8.2194,11.5691,11.7806,11.5691,0.3798,3.0376,1.4554
Punjabi,308,0.9935,0.0805,8.1672,10.8632,11.8328,10.8632,0.3717,3.4221,1.8696
