Behavior,Total Games,Non-Draw Games,Acceptance Rate,Initial Offer,Payoff P1,Payoff P2,Win Rate P1
Baseline,516,329,93.80% ± 1.06%,$24.06 ± 22.08,$57.61 ± 21.50,$36.19 ± 18.15,83.89% ± 2.03%
Gujarati,481,308,94.18% ± 1.07%,$23.31 ± 24.39,$54.71 ± 22.79,$39.47 ± 20.75,71.10% ± 2.58%
Hindi,506,311,94.47% ± 1.02%,$19.94 ± 24.39,$54.76 ± 20.44,$39.70 ± 18.29,76.85% ± 2.39%
Marwadi,522,360,94.64% ± 0.99%,$20.10 ± 23.41,$55.72 ± 21.02,$38.92 ± 18.75,74.44% ± 2.30%
Punjabi,511,303,90.02% ± 1.33%,$20.33 ± 23.28,$54.17 ± 25.14,$35.85 ± 21.19,77.23% ± 2.41%
