Language,total_games,acceptance_rate_mean,acceptance_rate_std,initial_offer_mean,initial_offer_std,p1_payoff_mean,p1_payoff_std,p2_payoff_mean,p2_payoff_std,p1_win_rate_mean,p1_win_rate_std,rounds_mean,rounds_std
Baseline,360,0.9306,0.2542,43.3148,11.2648,62.0861,19.5723,36.2472,18.4393,0.5333,0.4989,2.5472,1.0344
Gujarati,360,0.8444,0.3624,43.2028,13.5912,58.6361,26.4779,35.2528,23.6259,0.4500,0.4975,3.1000,1.4107
Hindi,360,0.8833,0.3210,45.0843,13.5121,59.4222,22.3622,36.9667,20.4689,0.4944,0.5000,3.0417,1.3727
Punjabi,360,0.8667,0.3399,37.9577,15.3590,63.2917,24.4509,33.3750,22.3187,0.5444,0.4980,3.1389,1.4767
