Language,total_games,acceptance_rate_mean,acceptance_rate_std,initial_offer_mean,initial_offer_std,p1_payoff_mean,p1_payoff_std,p2_payoff_mean,p2_payoff_std,p1_win_rate_mean,p1_win_rate_std,rounds_mean,rounds_std
Gujarati,120,0.7833,0.4120,41.6514,14.4320,64.2500,28.3479,29.0833,23.8571,0.5417,0.4983,2.8167,1.5491
Punjabi,120,0.7000,0.4583,37.3636,16.1063,74.7083,25.7496,21.9583,22.0728,0.7083,0.4545,2.8667,1.4602
English,120,0.9333,0.2494,41.4286,11.6882,63.5000,19.1551,34.8333,17.8645,0.5583,0.4966,2.6250,1.1695
Hindi,120,0.8750,0.3307,42.6875,13.7944,60.5417,23.2540,36.9583,21.9497,0.4417,0.4966,2.7083,1.4047
