Behavior,Total Games,Avg Acceptance Rate,Avg Initial Offer,Avg Payoff P1,Avg Payoff P2,Avg Win Rate P1
Baseline,56,96.67%,$26.17,$73.92,$22.75,80.97%
Gujarati,53,92.08%,$26.02,$73.17,$18.92,95.83%
Hindi,56,92.50%,$18.42,$80.29,$12.21,91.67%
Marwadi,58,98.33%,$18.62,$82.46,$15.88,97.92%
Marwadi Forced,56,96.25%,$17.35,$83.92,$12.33,94.44%
Punjabi,41,95.56%,$24.72,$75.94,$19.61,100.00%
