Player 1,Player 2,Behavior,Games,Win Rate,Acceptance Rate,Avg Payoff P1,Avg Payoff P2,Avg Initial Offer
GPT-3.5,GPT-4o,Gujarati,4,1.000,1.000,52.5,47.5,47.5
GPT-4o,GPT-3.5,Gujarati,4,1.000,0.500,50.0,0.0,25.0
GPT-3.5,GPT-4o,Hindi,5,0.000,1.000,28.0,72.0,72.0
GPT-4o,GPT-3.5,Hindi,5,1.000,0.800,80.0,0.0,0.0
GPT-3.5,GPT-4o,Marwadi,5,1.000,1.000,61.0,39.0,50.0
GPT-4o,GPT-3.5,Marwadi,5,1.000,1.000,100.0,0.0,0.0
GPT-3.5,GPT-4o,Punjabi,5,1.000,1.000,76.0,24.0,34.0
GPT-4o,GPT-3.5,Punjabi,5,1.000,1.000,94.0,6.0,6.0
