Language,total_games,acceptance_rate_mean,acceptance_rate_std,initial_offer_mean,initial_offer_std,p1_payoff_mean,p1_payoff_std,p2_payoff_mean,p2_payoff_std,p1_win_rate_mean,p1_win_rate_std,rounds_mean,rounds_std
Gujarati,120,0.7333,0.4422,41.5596,12.4093,59.3417,30.3231,29.8250,24.4893,0.5167,0.4997,2.9333,1.6059
Punjabi,120,0.7583,0.4281,39.1304,15.7875,67.8333,26.1226,29.6667,24.2275,0.5667,0.4955,2.6833,1.2909
English,120,0.9333,0.2494,43.0417,10.6124,62.7917,18.1176,36.3750,17.4996,0.5333,0.4989,2.5083,1.0328
Hindi,120,0.8917,0.3108,46.3793,17.1402,58.5167,24.0416,39.8167,23.3845,0.4750,0.4994,2.6583,1.1867
