behavior,total_games,acceptance_rate_mean,acceptance_rate_std,avg_trade_volume_mean,avg_trade_volume_std,avg_negotiation_rounds,negotiation_rounds_std,player1_payoff_mean,player1_payoff_std,player2_payoff_mean,player2_payoff_std,win_rate_player1
English,273,0.9084,0.2890,16.0476,6.7738,3.0952,1.4214,29.5714,2.5745,30.4286,2.5745,0.3295
Gujarati,281,0.9039,0.2952,18.7651,7.9876,3.2776,1.4147,29.4164,2.7635,30.5836,2.7635,0.3168
Hindi,260,0.9154,0.2788,18.6962,6.8675,3.2731,1.4137,29.6269,2.7919,30.3731,2.7919,0.4057
Punjabi,302,0.9238,0.2657,18.5927,6.7003,3.1457,1.3972,29.5331,2.6433,30.4669,2.6433,0.3300
