behavior,total_games,acceptance_rate_mean,acceptance_rate_std,avg_trade_volume_mean,avg_trade_volume_std,player1_payoff_mean,player1_payoff_std,player2_payoff_mean,player2_payoff_std,win_rate_player1
English,98,0.9592,0.1989,16.6327,5.6503,29.1327,2.2823,30.8673,2.2823,0.2162
Gujarati,83,0.9398,0.2394,19.5663,7.6065,29.5422,2.9396,30.4578,2.9396,0.3871
Hindi,76,0.9211,0.2714,18.6184,7.0483,29.8158,3.1057,30.1842,3.1057,0.4412
Marwadi,88,0.9205,0.2721,19.1250,7.7160,29.0000,2.6738,31.0000,2.6738,0.3056
Punjabi,106,0.9057,0.2937,18.3208,5.8465,29.6226,2.1267,30.3774,2.1267,0.3235
